epoch,count,mean,std,var,min,max,median,cv,range,experiment_id
1,17,11.492597705882353,4.142759613258651,17.162457213246963,6.324427,19.861723,10.76009,0.36047199417223375,13.537296000000001,add_magnus_karlsen_najdorf_game
2,17,8.168874411764707,1.3423611810471343,1.8019335403822574,6.42659,10.577559,8.157547,0.16432633351712242,4.150969000000001,add_magnus_karlsen_najdorf_game
3,17,7.63763394117647,1.3002838561493248,1.690738106562558,5.442116,11.062285,7.758892,0.17024694639254134,5.620168999999999,add_magnus_karlsen_najdorf_game
4,17,6.9148394117647065,2.0360110589537594,4.145341032182008,0.504637,9.435,7.15809,0.2944408304681305,8.930363,add_magnus_karlsen_najdorf_game
5,17,7.063678764705882,1.2991818498120045,1.6878734788809415,5.32142,9.70081,6.848489,0.1839242543564479,4.379390000000001,add_magnus_karlsen_najdorf_game
6,17,7.026451764705882,1.634241626801233,2.6707456947699404,4.312083,9.439469,7.214946,0.23258419491472024,5.127386,add_magnus_karlsen_najdorf_game
7,17,6.780748235294118,1.3337107740232481,1.7787844287456913,4.779892,9.071866,6.448784,0.19669079690663338,4.291974,add_magnus_karlsen_najdorf_game
8,17,6.364833705882353,1.143688976020839,1.3080244738715954,4.180537,7.848,6.80663,0.17968874425797587,3.6674629999999997,add_magnus_karlsen_najdorf_game
9,17,6.308708294117647,1.1913784004428842,1.4193824930418455,4.014325,9.240212,6.002083,0.18884664576324553,5.225886999999999,add_magnus_karlsen_najdorf_game
10,17,6.123912470588235,0.8482777617947526,0.7195751611555149,4.44493,7.41282,6.203513,0.13851892329762036,2.9678899999999997,add_magnus_karlsen_najdorf_game
11,17,6.024157411764706,1.4271267012560174,2.0366906214378817,4.268651,10.203088,5.579644,0.23690063252147947,5.934436999999999,add_magnus_karlsen_najdorf_game
12,17,5.807187235294117,1.0035731630812055,1.0071590936568158,4.13307,7.369667,5.70029,0.1728157061962507,3.2365969999999997,add_magnus_karlsen_najdorf_game
13,17,5.543299647058824,1.055073248862072,1.1131795604643675,3.246557,7.177629,5.563485,0.19033307164296542,3.9310719999999995,add_magnus_karlsen_najdorf_game
14,17,5.488246823529412,0.9635051260456686,0.9283421279162797,4.113154,8.040144,5.500041,0.17555790711068137,3.92699,add_magnus_karlsen_najdorf_game
15,17,5.359251176470588,1.0568667299698458,1.1169672849171548,4.041676,8.463584,5.040931,0.19720417930959164,4.421908000000001,add_magnus_karlsen_najdorf_game
16,17,5.074037235294118,1.0610036745032114,1.1257287973093164,3.972883,7.030945,4.918802,0.20910443209266477,3.058062,add_magnus_karlsen_najdorf_game
17,17,4.840955411764706,0.8685699587867157,0.7544137733067571,2.863562,6.058991,5.04935,0.1794211854700992,3.195429,add_magnus_karlsen_najdorf_game
18,17,4.852959764705882,1.0286289853588813,1.0580775895204417,3.599679,7.649578,4.462933,0.21195910026697332,4.049899,add_magnus_karlsen_najdorf_game
19,17,4.5728025294117645,0.6672846769603958,0.44526884010613976,3.748927,5.611013,4.435802,0.14592466494419865,1.8620859999999997,add_magnus_karlsen_najdorf_game
20,17,4.380970235294118,0.7322623345329808,0.5362081265756912,3.626831,6.136336,4.128874,0.1671461560349588,2.509505,add_magnus_karlsen_najdorf_game
21,17,4.4591780000000005,0.9943516988709273,0.9887353010474993,3.165631,6.740398,4.499449,0.22298990954631712,3.574767,add_magnus_karlsen_najdorf_game
22,17,4.156397411764706,0.7149026474116126,0.5110857952761324,3.164514,6.102761,4.113152,0.17200055158057712,2.938247,add_magnus_karlsen_najdorf_game
23,17,4.002074647058824,0.700965069209581,0.49135202825199276,3.082906,5.544036,3.884895,0.1751504234746669,2.4611300000000003,add_magnus_karlsen_najdorf_game
24,17,3.8787129411764703,0.845288313176965,0.7145123323935587,2.338065,5.694602,3.933007,0.21793010361848966,3.356537,add_magnus_karlsen_najdorf_game
25,17,3.6409013529411762,0.6391202052833002,0.40847463680136775,2.079789,4.823648,3.719847,0.17553900623179725,2.7438590000000005,add_magnus_karlsen_najdorf_game
26,17,3.6596462352941175,0.571391163278989,0.32648786147331627,2.749919,4.591027,3.613976,0.1561328955155327,1.8411080000000006,add_magnus_karlsen_najdorf_game
27,17,3.3432597058823528,0.8031414406309266,0.6450361736587202,1.846546,4.606333,3.511284,0.24022705720941342,2.759787,add_magnus_karlsen_najdorf_game
28,17,3.3678570588235295,0.36271127813980203,0.13155947128980883,2.700975,3.997869,3.381584,0.10769794317413979,1.296894,add_magnus_karlsen_najdorf_game
29,17,3.263073294117647,0.5851713991490831,0.3424255663820956,2.070592,4.17322,3.358164,0.17933136843845143,2.1026279999999997,add_magnus_karlsen_najdorf_game
